title	titleId	plot_key1	plot_key2	plot_key3	plot_key4	plot_key5	stage
Forbidden Panet	tt0049223	electronic music score	robot	cult film	famous score	spaceship	
The Invisible Boy	tt0050546	robot	psychotronic film	military	institute	army general	
The Creation of the Humanoids	tt0055872	robot 	psychotronic film	low budget	robot sci fi	android	
2001: A Space Odyssey	tt0062622	monolith	human versus computer	star child	famous line	computer	
Colossus: The Forbin Project	tt0064177	super computer	technology gone amok	computer	scientist	cult film	
THX 1138	tt0066434	dystopian sci fi	brainwashing	character name as title	feature remake of a short film	bald man	
The Questor Tapes	tt0070585	education	psychotronic film	corrupt gambling	low budget	android	
Zardoz	tt0070948	post apocalypse	23rd century	hairy chest	old man	old woman	
Dark Star	tt0069945	cult film	deep space	low budget	alien	spoof	
Rollerball	tt0073631	defiance	dystopia	fictional sport	resentment	conspiracy	
Logan's Run	tt0074812	cat	domed city	fugitive	biosphere	dystopia	
Futureworld	tt0074559	conspiracy	robot	sequel	theme park	laboratory	
Demon Seed	tt0075931	childbirth	voyeur	female nudity	computer	scientist	
Star Trek: The Motion Picture	tt0079945	alien	voyager spacecraft	transporter malfunction	u.s.s enterprise	starship	
The Black Hole	tt0078869	black hole	spaceship	attempted escape	robot	lens flare	
Heartbeeps	tt0082507	robot	love	escape	servant	fish out of water	
Forbidden World	tt0083959	genetic experimentarion	female nudity	monster attack	female scientist	xenomorph	
Blade Runner	tt0083658	tech noir	cyberpunk	police detective	dystopia	existentialism	
Tron	tt0084827	arcade	computer	computer hacker	cyberspace	computer program	
WarGames	tt0086567	hacker	cold war	computer	modem	phreaking	
Superman III	tt0086393	clark kent	lana lang	legs	men wear eyeglasses	lois lane	
Prototype	tt0084546	low budget	android	humanoid	human android relationship	kidnapping	
Electic Dreams	tt0087197	smart house	artificial intelligence	cello	human versus computer	rivalry	
The Terminator	tt0088247	time travel	cyborg	loss of loved one	robot	future war	
2010: The Year We Make Contact	tt0086837	year 2010	2010s	the white house	lincoln memorial	year as title	
Runaway	tt0088024	police officer	robot	future	killer robot	NA	
D.A.R.Y.L	tt0088979	young boy	robot	artificial intelligence	boy robot	helicopter	
Chopping Mall	tt0090837	killer robot	mall	robot kills human	cunnilingus	overhearing sex	
Short Circuit	tt0091949	animal lover	artificial intelligence	robot	struck by lightning	lightning	
Flight of the Navigator	tt0091059	nasa	12 year old	year 1978	ravine	year 1986	
Deadly Friend	tt0090917	robot	basketball	abusive father	morgue	two word title	
Top Kids	tt0094166	historical fiction	automobile history	artificial intelligence	computer	futuristic car	
Too Much	tt0094164	1987	inventor	robot	watch	japan	
Short Circuit 2	tt0096101	robot	numbered sequel	talking robot	second part	sequel	
Twister's Revenge!	tt0133246	monster truck	cult	neo western	cowboy	modern western	
Solar Crisis	tt0100649	time bomb	female nudity	humanity in jeopardy	2050s	astonaut	
Frankenstein Unbound	tt0099612	alternate reality	science runs amok	time travel	future	frankenstein's monster	
Knight Rider 2000	tt0102227	motor vehicle	talking vehicle	unsold tv series pilot	waeapon	pistol	
Terminator 2: Judgment Day	tt0103064	time travel	future	artificial intelligence	mother son relationship	sacrifice	
Mindwarp	tt0100152	virtual reality	wasteland	cannibal	drifter	utopia	
In Your Wildest Dreams	tt0191198	high school	computer	family relationships	teenage	stock market	
American Cyborg: Steel Warrior	tt0109098	cyborg	kung fu	martial arts	cult film	NA	
Galaxy Beat	tt0158627	outer space	feeling betrayed	amphibian	secret	chief	
The Science of Star Trek	tt0274079	star trek	science	robotics	physics	artificial intelligence	
Automatic	tt0109178	attempted rape	protection	high tech	heart	security	
Jonny Mnemonic	tt0113481	implanted memory	cyberpunk	virtual reality	cyberspace	based on story	
Mighty Morphin Power Rangers	tt0113820	hypnotism	alien	meteor	hypnosis	egg	
Virtousity	tt0114857	virtual reality	serial killer	android	LAPD	artificial intelligence	
Solo	tt0117688	robot	military	android	artificial intelligence	super strength	
Batman & Robin	tt0118688	batman 	bruce wayne	superhero	bat nipples	dc comics	
Star Kid	tt0120478	artificial intelligence	cult film	young boy	child hero	NA	
The Book of Life	tt0167059	fired	JFK airport	new york city	prophecy	december	
Host	tt0144239	computer	scientist	cryogenics	virtual reality	little boy	
Lost in Space	tt0120738	spaceship	robot	alien	sabotage	scientist	
Small Soldiers	tt0122718	evil toy	toy	action figure	military	toy store	
Futuresport	tt0158409	fictitious sport	one word title	electronic music score	2020s	futuristic	
Stardust	tt0161988	frame up	science fair	morse code	naotechnology	science teacher	
Velocity Trap	tt0120435	comet	murder	rocket launcher	spacecraft	robot	
The Matrix	tt0133093	artificial intelligence	war with machines	simulated reality	dystopia	post apocalypse	
Bicentennial Man	tt0182789	robot	hologram	freedom	breaking a figurine	goofball	
Galaxy Quest	tt0177789	parody	sexy woman	alien	actor	fanboy	
Heat Vision and Jack	tt0363668	space adventrue	space	supernatural power	1990s	super intelligence	
Supernova	tt0134983	space travel	scan	social nudity	22nd century	rescue	
